RawFile 	study_accession 	Organism  	Stage 	Section	Other
ERR4436706_2.fastq.gz	E-MTAB-9427	Mouse	E11.5	Dorsal Cup	
ERR4436707_1.fastq.gz	E-MTAB-9427	Mouse	E11.5	Dorsal Cup	
ERR4436707_2.fastq.gz	E-MTAB-9427	Mouse	E11.5	Dorsal Cup	
ERR4436708_1.fastq.gz	E-MTAB-9427	Mouse	E11.5	OFM	
ERR4436708_2.fastq.gz	E-MTAB-9427	Mouse	E11.5	OFM	
ERR4436709_1.fastq.gz	E-MTAB-9427	Mouse	E11.5	OFM	
ERR4436709_2.fastq.gz	E-MTAB-9427	Mouse	E11.5	OFM	
ERR4436710_1.fastq.gz	E-MTAB-9427	Mouse	E11.5	OFM	
ERR4436710_2.fastq.gz	E-MTAB-9427	Mouse	E11.5	OFM	
ERR4436711_1.fastq.gz	E-MTAB-9427	Mouse	E11.5	OFM	
ERR4436711_2.fastq.gz	E-MTAB-9427	Mouse	E11.5	OFM	
ERR4436712_1.fastq.gz	E-MTAB-9427	Mouse	E11.5	Dorsal Cup	
ERR4436712_2.fastq.gz	E-MTAB-9427	Mouse	E11.5	Dorsal Cup	
ERR4436713_1.fastq.gz	E-MTAB-9427	Mouse	E11.5	Dorsal Cup	
ERR4436713_2.fastq.gz	E-MTAB-9427	Mouse	E11.5	Dorsal Cup	
ERR4436714_1.fastq.gz	E-MTAB-9427	Mouse	E11.5	Dorsal Cup	
ERR4436714_2.fastq.gz	E-MTAB-9427	Mouse	E11.5	Dorsal Cup	
ERR4436715_1.fastq.gz	E-MTAB-9427	Mouse	E11.5	Dorsal Cup	
ERR4436715_2.fastq.gz	E-MTAB-9427	Mouse	E11.5	Dorsal Cup	
ERR4436716_1.fastq.gz	E-MTAB-9427	Mouse	E11.5	OFM	
ERR4436716_2.fastq.gz	E-MTAB-9427	Mouse	E11.5	OFM	
ERR4436717_1.fastq.gz	E-MTAB-9427	Mouse	E11.5	OFM	
ERR4436717_2.fastq.gz	E-MTAB-9427	Mouse	E11.5	OFM	
ERR4436718_1.fastq.gz	E-MTAB-9427	Mouse	E11.5	OFM	
ERR4436718_2.fastq.gz	E-MTAB-9427	Mouse	E11.5	OFM	
ERR4436719_1.fastq.gz	E-MTAB-9427	Mouse	E11.5	OFM	
ERR4436719_2.fastq.gz	E-MTAB-9427	Mouse	E11.5	OFM	
ERR4436720_1.fastq.gz	E-MTAB-9427	Mouse	E12.5	Dorsal Cup	
ERR4436720_2.fastq.gz	E-MTAB-9427	Mouse	E12.5	Dorsal Cup	
ERR4436721_1.fastq.gz	E-MTAB-9427	Mouse	E12.5	Dorsal Cup	
ERR4436721_2.fastq.gz	E-MTAB-9427	Mouse	E12.5	Dorsal Cup	
ERR4436722_1.fastq.gz	E-MTAB-9427	Mouse	E12.5	Dorsal Cup	
ERR4436722_2.fastq.gz	E-MTAB-9427	Mouse	E12.5	Dorsal Cup	
ERR4436723_1.fastq.gz	E-MTAB-9427	Mouse	E12.5	Dorsal Cup	
ERR4436723_2.fastq.gz	E-MTAB-9427	Mouse	E12.5	Dorsal Cup	
ERR4436724_1.fastq.gz	E-MTAB-9427	Mouse	E12.5	OFM	
ERR4436724_2.fastq.gz	E-MTAB-9427	Mouse	E12.5	OFM	
ERR4436725_1.fastq.gz	E-MTAB-9427	Mouse	E12.5	OFM	
ERR4436725_2.fastq.gz	E-MTAB-9427	Mouse	E12.5	OFM	
ERR4436726_1.fastq.gz	E-MTAB-9427	Mouse	E12.5	OFM	
ERR4436726_2.fastq.gz	E-MTAB-9427	Mouse	E12.5	OFM	
ERR4436727_1.fastq.gz	E-MTAB-9427	Mouse	E12.5	OFM	
ERR4436727_2.fastq.gz	E-MTAB-9427	Mouse	E12.5	OFM	
ERR4436728_1.fastq.gz	E-MTAB-9427	Mouse	E12.5	Dorsal Cup	
ERR4436728_2.fastq.gz	E-MTAB-9427	Mouse	E12.5	Dorsal Cup	
ERR4436729_1.fastq.gz	E-MTAB-9427	Mouse	E12.5	Dorsal Cup	
ERR4436729_2.fastq.gz	E-MTAB-9427	Mouse	E12.5	Dorsal Cup	
ERR4436730_1.fastq.gz	E-MTAB-9427	Mouse	E12.5	Dorsal Cup	
ERR4436730_2.fastq.gz	E-MTAB-9427	Mouse	E12.5	Dorsal Cup	
ERR4436731_1.fastq.gz	E-MTAB-9427	Mouse	E12.5	Dorsal Cup	
ERR4436731_2.fastq.gz	E-MTAB-9427	Mouse	E12.5	Dorsal Cup	
ERR4436732_1.fastq.gz	E-MTAB-9427	Mouse	E12.5	OFM	
ERR4436732_2.fastq.gz	E-MTAB-9427	Mouse	E12.5	OFM	
ERR4436733_1.fastq.gz	E-MTAB-9427	Mouse	E12.5	OFM	
ERR4436733_2.fastq.gz	E-MTAB-9427	Mouse	E12.5	OFM	
ERR4436734_1.fastq.gz	E-MTAB-9427	Mouse	E12.5	OFM	
ERR4436734_2.fastq.gz	E-MTAB-9427	Mouse	E12.5	OFM	
ERR4436735_1.fastq.gz	E-MTAB-9427	Mouse	E12.5	OFM	
ERR4436735_2.fastq.gz	E-MTAB-9427	Mouse	E12.5	OFM	
ERR4436736_1.fastq.gz	E-MTAB-9427	Mouse	E12.5	Dorsal Cup	
ERR4436736_2.fastq.gz	E-MTAB-9427	Mouse	E12.5	Dorsal Cup	
ERR4436737_1.fastq.gz	E-MTAB-9427	Mouse	E12.5	Dorsal Cup	
ERR4436737_2.fastq.gz	E-MTAB-9427	Mouse	E12.5	Dorsal Cup	
ERR4436738_1.fastq.gz	E-MTAB-9427	Mouse	E12.5	Dorsal Cup	
ERR4436738_2.fastq.gz	E-MTAB-9427	Mouse	E12.5	Dorsal Cup	
ERR4436739_1.fastq.gz	E-MTAB-9427	Mouse	E12.5	Dorsal Cup	
ERR4436739_2.fastq.gz	E-MTAB-9427	Mouse	E12.5	Dorsal Cup	
ERR4436740_1.fastq.gz	E-MTAB-9427	Mouse	E12.5	OFM	
ERR4436740_2.fastq.gz	E-MTAB-9427	Mouse	E12.5	OFM	
ERR4436741_1.fastq.gz	E-MTAB-9427	Mouse	E12.5	OFM	
ERR4436741_2.fastq.gz	E-MTAB-9427	Mouse	E12.5	OFM	
ERR4436742_1.fastq.gz	E-MTAB-9427	Mouse	E12.5	OFM	
ERR4436742_2.fastq.gz	E-MTAB-9427	Mouse	E12.5	OFM	
ERR4436743_1.fastq.gz	E-MTAB-9427	Mouse	E12.5	OFM	
ERR4436743_2.fastq.gz	E-MTAB-9427	Mouse	E12.5	OFM	
					
					
					
