study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB39797	SAMEA7171718	ERX4377216	ERR4436669	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/009/ERR4436669/ERR4436669_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/009/ERR4436669/ERR4436669_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436669/CS17-13631-V_S9_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436669/CS17-13631-V_S9_L002_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR443/009/ERR4436669
PRJEB39797	SAMEA7171718	ERX4377216	ERR4436670	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/000/ERR4436670/ERR4436670_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/000/ERR4436670/ERR4436670_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436670/CS17-13631-V_S9_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436670/CS17-13631-V_S9_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR443/000/ERR4436670
PRJEB39797	SAMEA7171718	ERX4377216	ERR4436671	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/001/ERR4436671/ERR4436671_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/001/ERR4436671/ERR4436671_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436671/CS17-13631-V_S9_L004_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436671/CS17-13631-V_S9_L004_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR443/001/ERR4436671
PRJEB39797	SAMEA7171719	ERX4377217	ERR4436672	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/002/ERR4436672/ERR4436672_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/002/ERR4436672/ERR4436672_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436672/CS18-13559-D_S8_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436672/CS18-13559-D_S8_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR443/002/ERR4436672
PRJEB39797	SAMEA7171719	ERX4377217	ERR4436673	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/003/ERR4436673/ERR4436673_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/003/ERR4436673/ERR4436673_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436673/CS18-13559-D_S8_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436673/CS18-13559-D_S8_L002_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR443/003/ERR4436673
PRJEB39797	SAMEA7171719	ERX4377217	ERR4436674	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/004/ERR4436674/ERR4436674_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/004/ERR4436674/ERR4436674_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436674/CS18-13559-D_S8_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436674/CS18-13559-D_S8_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR443/004/ERR4436674
PRJEB39797	SAMEA7171719	ERX4377217	ERR4436675	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/005/ERR4436675/ERR4436675_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/005/ERR4436675/ERR4436675_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436675/CS18-13559-D_S8_L004_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436675/CS18-13559-D_S8_L004_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR443/005/ERR4436675
PRJEB39797	SAMEA7171720	ERX4377218	ERR4436676	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/006/ERR4436676/ERR4436676_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/006/ERR4436676/ERR4436676_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436676/CS18-13559-V_S7_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436676/CS18-13559-V_S7_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR443/006/ERR4436676
PRJEB39797	SAMEA7171720	ERX4377218	ERR4436677	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/007/ERR4436677/ERR4436677_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/007/ERR4436677/ERR4436677_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436677/CS18-13559-V_S7_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436677/CS18-13559-V_S7_L002_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR443/007/ERR4436677
PRJEB39797	SAMEA7171720	ERX4377218	ERR4436678	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/008/ERR4436678/ERR4436678_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/008/ERR4436678/ERR4436678_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436678/CS18-13559-V_S7_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436678/CS18-13559-V_S7_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR443/008/ERR4436678
PRJEB39797	SAMEA7171720	ERX4377218	ERR4436679	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/009/ERR4436679/ERR4436679_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/009/ERR4436679/ERR4436679_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436679/CS18-13559-V_S7_L004_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR443/ERR4436679/CS18-13559-V_S7_L004_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR443/009/ERR4436679
