Brown	Mouse	Affymetrix Mouse Genome 430 2.0 Array	GSE13103	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE13103
Cao	Mouse	Affymetrix Mouse Genome 430 2.0 Array	GSE109501	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE109501
Hardy	Chick	Ion Torrent PGM (Gallus gallus)	GSE84916	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE84916
Patel	Human	RNA-seq	E-MTAB-9426	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-9426/samples/
Patel	Mouse	RNA-seq	E-MTAB-9427	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-9427/samples/
Richardson	Zebrafish	RNA-seq	GSE159822	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE159822
